Section_UUID	Page	Display_Order	Section_Type	Section_Data	Hidden	Is_Required
SEC-1	/	10	hero-map	{"headingLead":"Get it approved","headingJoin":"in","standfirst":"46 markets, 6 regions, in-house delivery.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}],"defaultMarket":"india","marketSource":"all","cardLabel":"Market status","tickerLabel":"Latest updates","ticker":[{"source":"India · CDSCO","text":"import licence timeline revised"},{"source":"Saudi Arabia · SFDA","text":"variation guidance updated"},{"source":"Nigeria · NAFDAC","text":"renewal window opens"},{"source":"Kenya · PPB","text":"retention fee schedule published"},{"source":"Uzbekistan","text":"pharmacovigilance inspection notice"},{"source":"Peru · DIGEMID","text":"labelling annex revised"}]}	false	true
SEC-2	/	20	explore-journeys	{"eyebrow":"Explore","heading":"Start with the problem, not our service names.","standfirst":"Most people arrive knowing the outcome they need, not what the industry calls it.","linkLabel":"Explore","items":[{"title":"Enter a new market","body":"Pathway, classification and the filing route for a country you have never registered in.","href":"/explore/business-needs","resting":false},{"title":"Build or maintain PV compliance","body":"A local QPPV, case intake and the aggregate reports the authority expects.","href":"/expertise/pharmacovigilance","resting":false},{"title":"Establish local representation or MAH","body":"A licence holder where you have no legal entity, with obligations managed for you.","href":"/expertise/mah-local-representation","resting":false},{"title":"Not sure where to start","body":"Tell us the product and the destination. We will map the pathway and come back.","href":"/explore/questionnaire","resting":false}],"certificationsLabel":"Certified & compliant","showCertifications":true}	false	true
SEC-3	/	30	statement	{"eyebrow":"Where regulatory clarity becomes market access","lead":"We do not sell hours. We take responsibility for an outcome — a licence granted, a QPPV on record, a market opened","tail":"— and we stay accountable for it long after the approval letter arrives, across every renewal, variation and inspection that follows.","actions":[{"label":"Speak to an Expert","href":"/contact","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"outline"}]}	false	true
SEC-4	/	40	capability-panels	{"eyebrow":"Service overview","heading":"Three core capabilities.","intro":"Engage a single capability or hand over the whole lifecycle. One regional team, one commercial relationship, whichever you choose.","linkLabel":"All expertise","linkHref":"/expertise","items":[{"title":"Regulatory Affairs","body":"Strategy and intelligence, dossier preparation, eCTD publishing, submission management, approvals and lifecycle change.","tags":["Dossier","eCTD","Variations","Renewals"],"emphasis":"primary","wide":false},{"title":"Pharmacovigilance","body":"Local QPPV and deputy cover, ICSR intake, literature monitoring, aggregate reporting and inspection readiness.","tags":["QPPV","PSUR / PBRER","PSMF","Inspections"],"emphasis":"secondary","wide":false},{"title":"MAH & Local Representation","body":"Licence holding and local representation in markets where you have no legal entity — obligations, authority correspondence and lifecycle duties managed on your behalf, by people on record with the authority.","tags":["Licence holding","Authority communication","Lifecycle support"],"emphasis":"deep","wide":true}]}	false	true
SEC-5	/	50	industry-index	{"eyebrow":"Industries & product categories","heading":"Specialist support across regulated product categories.","standfirst":"Category knowledge stays connected to local market requirements, submission pathways and lifecycle obligations.","countLabel":"types","items":[{"title":"Pharmaceuticals","summary":"Prescription, OTC and complex portfolios","icon":"pharmaceuticals","href":"/industries/pharmaceuticals","productTypes":["Generics","NCEs / NDAs","Biologics","Biosimilars","Vaccines","Oncology","Sterile injectables","Controlled substances","Paediatric formulations","Fixed-dose combinations"]},{"title":"Medical Devices & IVDs","summary":"Classification, registration and lifecycle","icon":"devices","href":"/industries/medical-devices","productTypes":["Class I–III devices","In-vitro diagnostics","Software as a medical device","Implantables","Electro-medical","Sterile single-use","Combination products"]},{"title":"Food Supplements","summary":"Market pathway and compliance support","icon":"supplements","href":"/industries/food-supplements","productTypes":["Nutraceuticals","Vitamins & minerals","Botanicals","Sports nutrition","Infant nutrition","Medical foods"]},{"title":"Cosmetics","summary":"Notification, claims and local requirements","icon":"cosmetics","href":"/industries/cosmetics","productTypes":["Skin care","Hair care","Colour cosmetics","Sunscreens","Oral care","Fragrances"]},{"title":"Veterinary Products","summary":"Regulatory planning and market support","icon":"veterinary","href":"/industries/veterinary","productTypes":["Companion animal","Livestock","Vaccines","Feed additives","Antiparasitics"]}]}	false	true
SEC-6	/	60	region-cards	{"eyebrow":"Global presence","heading":"Local execution across emerging markets —","headingTail":"46 markets, one accountability team","regions":[{"name":"Asia Pacific","count":"15","href":"/markets/asia-pacific","markets":[{"name":"India","href":"/markets/asia-pacific/india"},{"name":"Sri Lanka","href":"/markets/asia-pacific/sri-lanka"},{"name":"Philippines","href":"/markets/asia-pacific/philippines"},{"name":"Myanmar","href":"/markets/asia-pacific/myanmar"},{"name":"Vietnam","href":"/markets/asia-pacific/vietnam"},{"name":"Thailand","href":"/markets/asia-pacific/thailand"},{"name":"Indonesia","href":"/markets/asia-pacific/indonesia"},{"name":"Malaysia","href":"/markets/asia-pacific/malaysia"},{"name":"Singapore","href":"/markets/asia-pacific/singapore"},{"name":"Hong Kong","href":"/markets/asia-pacific/hong-kong"},{"name":"Taiwan","href":"/markets/asia-pacific/taiwan"},{"name":"Cambodia","href":"/markets/asia-pacific/cambodia"},{"name":"Brunei","href":"/markets/asia-pacific/brunei"},{"name":"Laos","href":"/markets/asia-pacific/laos"},{"name":"Pakistan","href":"/markets/asia-pacific/pakistan"}]},{"name":"Africa","count":"17","href":"/markets/africa","markets":[{"name":"Nigeria","href":"/markets/africa/nigeria"},{"name":"Kenya","href":"/markets/africa/kenya"},{"name":"South Africa","href":"/markets/africa/south-africa"},{"name":"Tanzania","href":"/markets/africa/tanzania"},{"name":"Ethiopia","href":"/markets/africa/ethiopia"},{"name":"Uganda","href":"/markets/africa/uganda"},{"name":"Zimbabwe","href":"/markets/africa/zimbabwe"},{"name":"Ghana","href":"/markets/africa/ghana"},{"name":"Côte d’Ivoire","href":"/markets/africa/cote-divoire"},{"name":"Senegal","href":"/markets/africa/senegal"},{"name":"Burkina Faso","href":"/markets/africa/burkina-faso"},{"name":"Togo","href":"/markets/africa/togo"},{"name":"Benin","href":"/markets/africa/benin"},{"name":"Cameroon","href":"/markets/africa/cameroon"},{"name":"DR Congo","href":"/markets/africa/dr-congo"},{"name":"Chad","href":"/markets/africa/chad"},{"name":"Madagascar","href":"/markets/africa/madagascar"}]},{"name":"Latin America","count":"06","href":"/markets/latin-america","markets":[{"name":"Peru","href":"/markets/latin-america/peru"},{"name":"Chile","href":"/markets/latin-america/chile"},{"name":"Guatemala","href":"/markets/latin-america/guatemala"},{"name":"Honduras","href":"/markets/latin-america/honduras"},{"name":"El Salvador","href":"/markets/latin-america/el-salvador"},{"name":"Nicaragua","href":"/markets/latin-america/nicaragua"}]},{"name":"CIS","count":"04","href":"/markets/cis","markets":[{"name":"Uzbekistan","href":"/markets/cis/uzbekistan"},{"name":"Kazakhstan","href":"/markets/cis/kazakhstan"},{"name":"Kyrgyzstan","href":"/markets/cis/kyrgyzstan"},{"name":"Azerbaijan","href":"/markets/cis/azerbaijan"}]},{"name":"Middle East","count":"02","href":"/markets/middle-east","markets":[{"name":"Saudi Arabia","href":"/markets/middle-east/saudi-arabia"},{"name":"United Arab Emirates","href":"/markets/middle-east/united-arab-emirates"}]},{"name":"Eastern Europe","count":"02","href":"/markets/eastern-europe","markets":[{"name":"Russia","href":"/markets/eastern-europe/russia"},{"name":"Ukraine","href":"/markets/eastern-europe/ukraine"}]}],"footnoteLeft":"Every market name links to its country page","footnoteRight":"Markets shown as points · no international boundaries are drawn"}	false	true
SEC-7	/	70	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-8	/	80	pill-row	{"eyebrow":"Engagement models","heading":"Six ways to work with us.","standfirst":"Scope, governance and reporting are agreed up front, whichever shape the engagement takes.","items":[{"label":"Project-based support"},{"label":"Managed services"},{"label":"QPPV / dedicated FTE"},{"label":"Hybrid onsite deployment"},{"label":"Embedded regulatory teams"},{"label":"Strategic partnership"}]}	false	true
SEC-9	/	90	value-grid	{"eyebrow":"Why Genedrift","heading":"More than a service provider. A long-term regulatory partner.","items":[{"title":"Fully in-house delivery","body":"No subcontractors. The team that files your dossier maintains it."},{"title":"Genuine local expertise","body":"In-country specialists who know the authority, not a remote desk."},{"title":"Regional project management","body":"One commercial partner and one project manager across every market."},{"title":"Quality-driven execution","body":"ISO-certified management systems and inspection-ready documentation."}]}	false	true
SEC-10	/	100	proof-billboard	{"eyebrow":"Client impact","heading":"Work our clients let us talk about.","standfirst":"Three engagements, each tagged to a capability and a market so the same record surfaces on those pages too.","cases":[{"label":"Pharmacovigilance · QPPV","title":"Leading consumer healthcare company","body":"Local QPPV, Deputy QPPV and end-to-end pharmacovigilance support across the local market, with inspection-ready documentation maintained throughout.","tags":["Pharmacovigilance","QPPV","Local market"]},{"label":"Dedicated FTE · Lifecycle","title":"Leading US regulatory consulting organisation","body":"Dedicated FTE supporting lifecycle management for 170+ products, with hybrid onsite deployment scaled to the client's filing calendar.","tags":["Dedicated FTE","Lifecycle management","Hybrid onsite"]},{"label":"Intelligence · Saudi Arabia","title":"Multinational regulatory intelligence programme","body":"50+ regulatory intelligence reports and 10+ Saudi regulatory roadmaps delivered for multinational organisations entering the Gulf.","tags":["Regulatory intelligence","Saudi Arabia","Roadmaps"]}]}	false	true
